"SalonID","SalonName","ServiceId","Region","City","OpeningTIme","ClosingTime","Rating","Phonenumber"
"29","ROEE BEN-AMI","2","South","Jerusalem","08:00:00.00","19:00:00.00","4.6","025671688"
"30","Villa B","2","South","Beersheba","09:00:00.00","20:00:00.00","4.9","0523121702"
"31","Mika's nails","3","North","Haifa","09:00:00.00","19:00:00.00","4.9","0523220492"
"32","Morelle","3","North","Haifa","08:00:00.00","19:00:00.00","5.0","0506961303"
"34","Onno Nails","3","North","Haifa","09:00:00.00","19:00:00.00","4.7","0522829910"
"35","Ehud Elbaz ","3","North","Haifa","08:00:00.00","19:00:00.00","4.9","0522699630"
"36","C.B Nails","3","Center","Tel Aviv","10:00:00.00","20:00:00.00","4.5","0527466850"
"37","Ida Nails","3","Center","Tel Aviv","09:30:00.00","19:00:00.00","4.8","0587937197"
"38","DANDA","3","Center","Kiryat Ono","09:00:00.00","20:00:00.00","4.8","039169060"
"39","E.mi","3","Center","Netanya","10:00:00.00","17:00:00.00","5.0","0509200411"
"40","Noor Nails","3","South","Hura","09:00:00.00","19:00:00.00","5.0","0545889083"
"41","Nofar Nails","3","South","Beersheba","08:00:00.00","19:00:00.00","5.0","0504448174"
"43","Orly ","3","South","Beersheba","08:00:00.00","20:00:00.00","3.3","0506256283"
"44","Horizon","4","Center","Tel Aviv","09:00:00.00","21:00:00.00","4.8","0779969094"
"45","Hamam Spa Raphael","4","Center","Rehovot","09:00:00.00","20:00:00.00","4.4","089448010"
"46","Tomoko Japanese Spa","4","Center","Herzliya","09:00:00.00","22:00:00.00","4.3","099552365"
"47","Mantra Spa","4","Center","Ra'anana","09:30:00.00","21:00:00.00","4.5","097406506"
"48","Caesar Spa","4","North","Ha-Migdal","09:00:00.00","17:00:00.00","4.4","046266669"
"49","Flamingo Spa","4","North","Haifa","09:00:00.00","18:00:00.00","4.5","0528830083"
"50","Share Spa","4","North","Haifa","09:00:00.00","21:00:00.00","3.4","0737947940"
"51","Varga","4","South","Beersheba","10:00:00.00","21:00:00.00","4.7","0723935368"
"52","Spa Barak ","4","South","Jerusalem","09:00:00.00","20:00:00.00","4.0","025306666"
"53","Spa Guerlain ","4","South","Jerusalem","07:00:00.00","19:00:00.00","3.7","025423377"
"57","Ortal Edri","5","North","Afula","09:00:00.00","19:00:00.00","4.7","046407757"
"58","SHIMI AZUT","5","Center","Herzliya","08:30:00.00","19:00:00.00","4.9","0548138383"
"59","Ziv Hair Design ","5","Center","Hod Hasharon","09:30:00.00","19:00:00.00","4.5","097415241"
"60","Ran Stone","5","Center","Netanya","09:00:00.00","19:30:00.00","4.7","098870806"
"61","Ronit Salon","5","Center","Ra'anana","10:00:00.00","20:00:00.00","3.7","0522444281"
"62","Silk Salon","5","South","Efrat","09:00:00.00","20:00:00.00","5.0","0587079976"
"63","VG Hair Design","5","South","Beersheba","09:00:00.00","20:00:00.00","4.8","0774401576"
"64","Edward","5","South","Beersheba","09:00:00.00","19:00:00.00","4.7","0546937552"
